measure,location,sex,age,cause,metric,year,val,upper,lower
5,118,3,27,1029,2,2019,0.007301967460236376,0.008648738392405984,0.006145225491965475
5,130,3,27,589,2,2019,0.1429619014810295,0.15170082348906225,0.13397849367379225
5,163,3,27,589,2,2019,0.09365614566208794,0.1002834866331416,0.08709559311316052
5,196,3,27,976,2,2019,0.05813943743796523,0.06327125272852689,0.05343587759709071
5,413,3,27,491,2,2019,0.06618571749139585,0.07000907592936462,0.06270003999650565
5,209,3,27,589,2,2019,0.06756999148057748,0.07214097207459506,0.06287024453944055
5,53,3,27,491,2,2019,0.08236684361457268,0.08640899533469458,0.07850849352999713
5,109,3,27,509,2,2019,0.027926242063643143,0.029340085020318703,0.026458939974193657
5,197,3,27,509,2,2019,0.025697000093828554,0.027036254418042437,0.02437599018481166
5,151,3,27,976,2,2019,0.1738569188802353,0.1892059391477644,0.16027037812415074
5,97,3,27,976,2,2019,0.05229642452675524,0.057500459160443926,0.047041406729907684
5,197,3,27,491,2,2019,0.0667203108711437,0.0714616493259157,0.06242958707946854
5,413,3,27,589,2,2019,0.1137898986637343,0.1218176554749885,0.10528551771228373
5,142,3,27,589,2,2019,0.11294807961048745,0.11989664693445932,0.10588556154066849
5,86,3,27,589,2,2019,0.06290047472621545,0.0670678291054243,0.058462356325576406
5,53,3,27,589,2,2019,0.0857933641407396,0.09193668566916928,0.07984595694942138
5,98,3,27,589,2,2019,0.08301806180210619,0.08845069369271001,0.07757581673018012
5,119,3,27,509,2,2019,0.012303668344220548,0.013083241374766104,0.011548687186832248
5,130,3,27,976,2,2019,0.10345513487226293,0.11134626917009519,0.09469383818764057
5,97,3,27,1029,2,2019,0.011912107034564547,0.014673303033990514,0.00957995186297075
5,197,3,27,589,2,2019,0.08112719265051939,0.0869253771411115,0.07533101763732297
5,196,3,27,1029,2,2019,0.005497597492713737,0.0060058500249787605,0.005040602030169087
5,33,3,27,509,2,2019,0.025517036464894095,0.02693656552746264,0.024242495947249604
5,98,3,27,976,2,2019,0.06229147623642631,0.069279408726765,0.05604161508728929
5,163,3,27,976,2,2019,0.06766450603347197,0.07517823353092348,0.06099246522420653
5,152,3,27,509,2,2019,0.02151241537968423,0.023021853584485403,0.020115666951214785
5,98,3,27,491,2,2019,0.050081185109206,0.05279740835614616,0.04726616099065896
5,413,3,27,976,2,2019,0.11578258496754228,0.12815236013688017,0.10580468262917089
5,163,3,27,1029,2,2019,0.003319919936352556,0.003830897751323719,0.002875959888726814
5,198,3,27,491,2,2019,0.06767001014597028,0.07311922325918048,0.0628997782400605
5,198,3,27,589,2,2019,0.07616823556475948,0.08351401305376643,0.06987141597627773
5,53,3,27,976,2,2019,0.0688432816470899,0.07538099097933719,0.061807662347783905
5,208,3,27,491,2,2019,0.060577337828629015,0.06581208293934108,0.056273738461481655
5,413,3,27,1029,2,2019,0.007472139317825656,0.009631990824220938,0.005770874871642018
5,184,3,27,1029,2,2019,0.00386048300400297,0.005036824931181822,0.0028946221471497753
5,164,3,27,491,2,2019,0.05523752197739448,0.058407918042323245,0.05208206720541459
5,131,3,27,491,2,2019,0.05544125651284639,0.05905769522581524,0.05200909419822465
5,98,3,27,509,2,2019,0.023456256824099114,0.02492622979268263,0.022061172733255526
5,197,3,27,976,2,2019,0.06066196665645628,0.06645770021175713,0.055028378846367465
5,208,3,27,589,2,2019,0.06484909987023363,0.06927208222015635,0.060275756005940984
5,119,3,27,1029,2,2019,0.010077981792603599,0.013388357023695991,0.007553059333755703
5,185,3,27,491,2,2019,0.06222024381714837,0.0681344953993329,0.05705846632759176
5,131,3,27,589,2,2019,0.13617970072018926,0.14475813052350517,0.1278720441885921
5,131,3,27,509,2,2019,0.01879785906071746,0.020059412958172925,0.01766993887173021
5,164,3,27,509,2,2019,0.03775309199969134,0.039499849197678946,0.03587145621643194
5,87,3,27,491,2,2019,0.06457146498539698,0.06834667397985461,0.06096336173125249
5,197,3,27,1029,2,2019,0.005565478199454253,0.007666225536405559,0.003943239998825199
5,198,3,27,509,2,2019,0.020851407732680415,0.022298542803246738,0.019467785378175614
